<120> --> 6092: [n't, wa, about, have, say, would, people, it, thing, one, like, make, when, much, doe, but, ca, did, and, are]
<1> --> 5699: [i, do, n't, have, are, can, like, 'm, see, think, get, it, really, 've, people, out, use, 'll, if, need]
<137> --> 4856: [iphone, device, will, iphones, neutral, have, phone, roundup, cellular, been, also, federal, are, new, contract, from, application, feature, next-generation, version]
<66> --> 4505: [company, product, tim, employee, are, business, customer, year, said, ceo, also, have, last, been, effort, including, out, plan, acquisition, value]
<64> --> 4131: [will, been, report, new, have, from, suggesting, change, however, next, may, rumor, already, thinner, plan, focus, would, although, increasing, coming]
<55> --> 4107: [have, issue, been, are, user, problem, from, wa, may, report, customer, had, when, appears, after, policy, were, several, received, reported]
<89> --> 4039: [tablet, report, device, source, will, could, would, said, have, analyst, claim, according, company, been, rumor, supplier, next, reportedly, likely, year]
<61> --> 3874: [os, x, mac, beta, developer, version, system, release, leopard, new, build, public, after, macos, operating, testing, seeded, first, also, software]
<48> --> 3720: [date, year, release, week, last, will, launch, june, late, february, wa, time, december, later, been, early, first, period, during, month]
<93> --> 3356: [rumor, new, update, report, appleinsider, will, are, claim, upcoming, imac, expected, according, thinksecret, powerbook, powermac, information, release, may, revision, detail]
<113> --> 3334: [wa, had, from, were, purchase, original, purchased, outside, noting, consumer, after, however, even, within, changed, in-store, before, having, still, did]
<51> --> 3260: [support, version, new, update, feature, improved, application, available, software, performance, improvement, also, mac, includes, user, including, today, updated, released, brings]
<75> --> 3228: [guide, buyer, roundup, neutral, do, n't, buy, related, new, been, are, earlier, from, today, report, although, claimed, released, press, available]
<40> --> 3195: [will, report, would, expected, said, have, may, new, march, could, tag, rumored, launch, earlier, source, next, are, year, suggested, also]
<94> --> 2792: [app, store, apps, developer, retina, free, application, from, new, someone, ios, also, link, can, directly, available, receive, user, download, version]
<91> --> 2399: [will, new, support, device, technology, announced, allow, standard, future, feature, group, enable, able, capability, expand, today, said, offer, wider, launching]
<59> --> 2329: [system, user, allow, function, remote, functionality, control, can, allows, allowing, operating, alert, automatically, being, computer, option, using, will, experience, task]
<58> --> 2309: [day, store, stock, online, time, week, u.s., today, four, hour, newer, available, three, april, availability, floor, begun, begin, november, announced]
