<370> --> 3494: [n't, do, have, doe, can, know, it, are, get, make, you, would, use, work, much, time, way, see, still, when]
<328> --> 3445: [iphone, roundup, guide, buyer, related, been, will, report, are, have, one, new, first, also, similar, today, may, well, note, early]
<96> --> 2930: [i, 'm, like, have, think, one, out, could, something, wa, see, maybe, get, thing, when, 'll, but, good, people, do]
<334> --> 2854: [will, source, report, claim, would, have, could, said, next-generation, new, according, also, next, may, current, rumored, likely, been, year, are]
<251> --> 2738: [iphone, device, will, have, from, wa, one, ces, been, it, around, still, since, offer, had, much, doe, original, available, despite]
<183> --> 2735: [os, x, mac, release, version, portrait, available, been, note, software, support, user, known, update, are, have, also, will, well, feature]
<203> --> 2187: [wa, had, were, he, did, about, would, decision, say, year, made, said, before, one, from, wanted, could, when, time, later]
<243> --> 2092: [week, last, earlier, been, have, wa, since, receiving, had, although, late, longer, are, after, from, yet, appears, reported, before, time]
<126> --> 2066: [rumor, been, would, may, have, speculation, report, rumors, recent, about, site, this, rumored, circulating, from, will, release, are, had, upcoming]
<62> --> 1959: [we, 're, 've, want, going, about, thing, are, doing, never, do, u, people, will, can, have, like, 'll, done, if]
<392> --> 1921: [new, feature, today, also, integrated, interface, radio, includes, allows, available, visual, are, different, design, introduced, special, announced, can, used, all-new]
<394> --> 1876: [app, store, from, free, can, like, developer, available, new, designed, also, installed, time, it, way, updated, find, user, see, are]
<116> --> 1871: [mac, do, n't, guide, buyer, buy, roundups, roundup, new, are, update, been, also, will, have, updated, while, rumored, related, expected]
<350> --> 1829: [information, been, from, have, wa, accurate, leaked, detail, new, about, site, were, report, historic, revealing, based, also, essentially, however, appears]
<72> --> 1586: [user, access, via, allows, connection, also, offer, easy, feature, several, using, including, today, transfer, being, require, experienced, popular, have, many]
<107> --> 1338: [store, retail, opening, new, sale, open, from, includes, city, time, light, reported, chain, have, year, also, two, up, as, appears]
<29> --> 1294: [update, includes, released, please, updated, visit, download, for, also, improved, information, following, reliability, detailed, delivers, http, doctor, enhanced, previously, well]
<42> --> 1293: [ipad, new, also, several, from, are, up, will, out, have, first, last, number, before, current, well, may, previous, noted, told]
<211> --> 1263: [working, team, development, work, been, company, project, year, wa, hardware, software, acquired, reportedly, had, florida, including, filesystem, met, from, develop]
<148> --> 1261: [plan, would, caution, report, company, apparently, make, sense, but, however, have, dispute, indicates, may, note, been, doe, yet, said, say]
<275> --> 1215: [company, ceo, said, times, york, acquisition, new, year, have, reached, from, wa, recently, technology, been, after, today, would, last, comment]
<353> --> 1209: [company, deal, business, report, meet, two, corporate, request, according, are, move, looking, signed, talk, division, one, currently, being, bring, made]
<168> --> 1188: [sale, quarter, unit, shipment, million, year, from, last, first, fourth, fiscal, wa, were, data, up, company, estimated, new, end, down]
<388> --> 1169: [..., shutdown, unexpected, gaining, outlining, will, are, still, say, bit, posted, that, added, agent, outcome, article, understand, this, interesting, did]
<386> --> 1161: [supply, have, fall, new, indicated, been, report, analyst, may, expected, will, are, round, expect, also, recent, reportedly, week, from, company]
<150> --> 1144: [powermac, revision, national, report, anonymous, claim, unconfirmed, are, powermacs, warrant, upcoming, xserve, imaging, new, hinted, according, hint, association, around, possible]
<391> --> 1138: [go, are, better, look, waiting, always, hand, different, becoming, see, would, have, thought, like, keep, pretty, they, having, help, good]
<157> --> 1079: [production, component, report, from, half, year, expected, manufacturing, up, panel, digitimes, said, tag, produce, investor, are, company, challenge, demand, second]
<105> --> 1078: [people, really, feel, about, worth, upon, many, response, thing, old, question, sell, 'd, are, why, fact, do, it, but, like]
<52> --> 1068: [will, grand, upcoming, also, likely, said, book, fair, include, end, provide, point, going, u, about, lower, today, sent, open, new]
<130> --> 1064: [have, problem, been, are, availability, seeing, delay, caused, had, error, report, due, wa, delayed, customer, many, according, were, received, appears]
<232> --> 1057: [issue, when, user, problem, may, address, several, from, related, after, today, addressing, have, wa, resolve, also, are, reported, certain, support]
<138> --> 1050: [device, light, can, also, use, used, allowing, from, using, could, one, plant, example, provide, include, includes, company, controlled, like, user]
<304> --> 1049: [itunes, music, library, from, available, new, will, also, wa, note, this, later, first, popular, aac, as, today, allowing, addition, previously]
<222> --> 1029: [jobs, steve, ceo, from, wa, co-founder, year, about, interview, wozniak, his, also, first, next, invited, early, lisa, friend, time, computer]
<159> --> 1022: [build, public, developer, seeded, new, after, release, version, week, seeding, latest, released, first, one, major, seed, wa, macrumors, today, two]
<182> --> 1021: [cellular, allow, iphone, user, from, can, feature, able, background, have, could, simply, will, when, allows, use, been, appears, already, access]
<50> --> 1011: [experience, will, company, future, continue, focused, expand, effort, platform, major, focus, working, plan, american, make, closing, customer, looking, help, are]
<375> --> 1008: [performance, speed, faster, improvement, new, comparison, up, improved, are, also, first, from, significant, better, task, increase, even, percent, previous, world]
